Publication Number,Date,Title,CPC,Summary
"US8864752","2014-10-21","Control system configured to compensate for non-ideal actuator-to-joint linkage characteristics in a medical robotic system","A61B34/30, A61B34/37, A61B34/71","A medical robotic system having non-ideal actuator-to-joint linkage characteristics  includes a cont..."
"US8920300","2014-12-30","Direct visualization robotic intra-operative radiation therapy device with radiation ablation capsule","A61N5/1001, A61N2005/1052, A61N2005/1055","This invention proposes a robotic applicator device to be deployed internally to a patient having a ..."
"US9066737","2015-06-30","Method for moving an instrument arm of a laparoscopy robot into a predeterminable relative position with respect to a trocar","A61B34/30, A61B90/11, A61B2034/2055","A method for moving an instrument arm of a laparoscopy robot into a predeterminable position relativ..."
"US9241767","2016-01-26","Method for handling an operator command exceeding a medical device state limitation in a medical robotic system","A61B34/37, A61B34/30, A61B34/35","A medical robotic system has a robotic arm holding a medical device  and a control system for contro..."
"US9439556","2016-09-13","Intelligent autonomous camera control for robotics with medical, military, and space applications","B25J9/1682, A61B1/00149, A61B1/00188","A system for autonomous camera control includes a first robot having a surgical tool mounted as an e..."
"US9622826","2017-04-18","Medical robotic system providing sensory feedback indicating a difference between a commanded state and a preferred pose of an articulated instrument","A61B34/37, A61B34/25, A61B34/30","A medical robotic system includes an entry guide with articulated instruments extending out of its d..."
"US9629520","2017-04-25","Method and system for moving an articulated instrument back towards an entry guide while automatically reconfiguring the articulated instrument for retraction into the entry guide","A61B1/00193, A61B1/0055, A61B1/018","A medical robotic system includes articulated instruments extending out of a distal end of an entry ..."
"US9718190","2017-08-01","Tool position and identification indicator displayed in a boundary area of a computer display screen","B25J9/1692, A61B1/00009, A61B1/0005","An endoscope captures images of a surgical site for display in a viewing area of a monitor. When a t..."
"US9786202","2017-10-10","Robot assisted surgical training","G09B23/28, G09B23/30, G09B23/28","A surgical training system and method. The system comprises means for recording reference data repre..."
"US9788909","2017-10-17","Synthetic representation of a surgical instrument","A61B34/20, A61B34/30, A61B34/37","A synthetic representation of a tool for display on a user interface of a robotic system. The synthe..."
"WO2005074303","2005-08-11","STEREOSCOPIC PROJECTION-BASED DISPLAY FOR SURGICAL ROBOT","A61B34/35, A61B34/70, A61B90/361","A robotic system for broadcasting or telecasting a three-dimensional image from a surgical robot to ..."
"WO2007114868","2007-10-11","METHOD FOR TRACKING AND REPORTING USAGE EVENTS TO DETERMINE WHEN PREVENTIVE MAINTENANCE IS DUE FOR A MEDICAL ROBOTIC SYSTEM","G16H40/40, A61B34/30, A61B34/37","A medical robotic system comprises a number of components that may be monitored to determine their p..."
"WO2012060901","2012-05-10","SYSTEM AND METHOD FOR THE EVALUATION OF OR IMPROVEMENT OF MINIMALLY INVASIVE SURGERY SKILLS","A61B34/35, A61B2017/00707, G09B23/285","A system to assist in at least one of the evaluation of or the improvement of skills to perform mini..."
"WO2018148464","2018-08-16","INTRA-OPERATIVE RADIATION THERAPY CAPSULE WITH CYLINDRICAL SHELL RADIATION CONTAINMENT SHUTTER SYSTEM","A61B34/35, A61B34/30, A61B90/361","This invention proposes a capsule to administer radiation to a patient to be mounted on an arm  pref..."
"WO2019032984","2019-02-14","MEDICAL APPARATUS WITH OPTICAL SENSING, AND RELATED DEVICES AND METHODS","A61B17/29, A61B2017/00075, A61B2017/00119","A medical apparatus can include an instrument comprising a shaft and a jaw assembly coupled to an en..."
"WO2022011177","2022-01-13","HEMOSTASIS METHODS AND APPARATUSES","A61B34/30, A61B1/00082, A61B1/015","A probe is configured with a flushing port and an evacuation port to establish a flow path to remove..."
"WO2022109176","2022-05-27","SYSTEMS AND METHODS FOR SURGICAL DATA CENSORSHIP","G06V20/35, G06V10/764, G06V10/766","Various of the disclosed embodiments relate to systems and methods for processing surgical data to f..."
"WO2023052931","2023-04-06","SURGICAL SEALING SYSTEMS FOR INSTRUMENT STABILIZATION","A61B17/3423, A61B1/00006, A61B1/000094","Surgical sealing systems are provided. In one exemplary embodiment  a surgical sealing system includ..."
"WO2023052932","2023-04-06","SURGICAL SEALING DEVICES FOR A NATURAL BODY ORIFICE","A61B2017/3466, A61B2017/347, A61B17/3423","Surgical sealing systems are provided. In one exemplary embodiment  a surgical sealing system includ..."
"WO2023052961","2023-04-06","SURGICAL SYSTEMS WITH PORT DEVICES FOR INSTRUMENT CONTROL","A61B17/3423, A61B17/3462, A61B34/20","Surgical systems are provided. In one exemplary embodiment  a surgical system includes first and sec..."
"WO2024118995","2024-06-06","SYSTEMS AND METHODS FOR CONTROLLING SURGICAL SYSTEMS USING NATURAL LANGUAGE","G16H20/40, A61B1/00006, A61B34/37","Techniques for controlling a surgical system are described. An example method includes identifying a..."
"WO2025058939","2025-03-20","WIPER FOR CLEANING A SURFACE AND CLEANING DEVICES COMPRISING SAME","A61B1/126, A61B1/00042, A61B90/70","A wiper body for an apparatus adapted to clean an imaging element of a surgical instrument comprises..."
